2,7928
2,45324
2,78929
3,6311
26,437
4,72263
6,2154
2,10012
5,19165
2,21412
430,581
1,51716
55,5305
2,44703
1,96386
175,959
7,2021
0,811672
1,66002
1,95838
14,0391
16,2505
10,6471
0,822971
2,83702
1,65873
1,96638
13,9343
16,0312
10,3629
3,41295
8,49557
4,73217
3,50571
2,88267
3,93922
2,50062
3,16934
4,90735
1,72866
259,71
2,78859
175,917
1,76872
2,47782
9,91026
1,37008
11,2306
3,52179
3,67911
108,596
1,61688
3,90134
8,7208
4,25939
1,43367
2,04512
10,5763
467,993
1,6321
0,965195
10,4072
1,74299
2,78157
2,15552
5,23746
2,97956
3,04631
1,52536
6,22289
1,39956
1,07227
25,6305
3,10775
2,09273
3,20047
3,49695
4,60049
2,84478
723,066
1,93724
5,60387
56,6832
1,36466
3,54944
2,85082
1,72933
5,24914
13,5846
6,22157
5,69964
3,11975
3,57663
14,276
7,28147
1,50065
2,44247
11,8684
5,65998
3,58074
