8,39977
1626,8
18,3721
145,958
12,1876
16,533
12,1554
14,0043
233,499
9,61734
18,4655
64,862
44,6728
1726,09
20,7228
12,8404
E
7,49485
7,54141
5,04752
10,9499
6,47246
6,41118
7,30788
29,1392
3,6744
491,485
9,70829
6,13184
46,4584
12,9602
10,5988
7,47341
13,326
9,40836
9,59732
8,38479
42,7715
8,13861
645,521
8,35304
7,2988
7,1163
E
E
14,125
4,88642
24,8283
9,93942
11,042
15,2372
8,80389
8,95259
E
4,93809
7,82191
26,763
480,391
120,908
8,7079
7,18814
177,638
E
8,04207
15,8993
17,3883
13,2581
86,8631
9,99461
10,0346
E
5,26907
18,4862
17,2715
E
10,1745
29,6745
18,6485
7,77382
8,28962
500,235
43,3542
7,91777
16,935
9,46073
11,9201
11,4539
42,6421
21,4029
9,20347
16,1838
14,1721
10,9768
9,47799
35,0197
13,8567
13,5005
271,677
6,22932
16,7984
