3,90682
247,764
246,814
25,2615
924,671
8,50086
4,34837
123,89
6,03383
4,22497
3,48946
27,7753
2,22742
4,88258
6,58795
3,91309
40,6631 
E
916,268
4,88014
6,63794
3,89805
40,8094
502,354
17,5054
4,37505
5,41926
32,6981
31,5195
4,54118
5,5867
1,47816
11,5019
32,6984
3,64757
2,99975
4,48336
8,41182
5,95403
1051,43
91,4487
5,82142
6,11654
3,05034
92,3555
7,99638
7,54922
5,05501
2,77917
3,726
8,15388
4,65893
3,27513
4,95522
3,2902
7,55639
50,8671
3,42439
3,46472
3,99
11,0427
5,18906
7,80176
6,63104
2,20796
E
10,1317
7,12052
2,80313
14,4584
3,44177
7,9208
54,1964
1,68537
5,54028
5,02662
4,3711
3,7066
25,7831
3,65325
4,31587
2,60253
5,50103
7,70749
6,31675
5,89804
4,90558
5,11517
2,19489
67,0166
4,03524
17,2743
5,35957
6,70821
7,14932
4,83676
51,9353
15,4762
17,3259
5,48013
